266	7.64	3.29	50.61	2.4	681	100	151	3.74	23	99	0.74	0.455	111	0	0	0	3.1
247	12.95	3.35	41.29	6.8	472	248	107	2.43	82	202	1.8	0.353	50	0	3	0	7.8
258	8.5	3.3	48.3	5.8	660	166	73	2.83	40	125	1.14	0.434	110	0	7	0	1.2
158	5.8	0.93	30.86	1.8	1	44	7	1.28	18	58	0.51	0.274	73	0	0	0	0
77	2.02	0.09	17.47	2.2	6	421	12	0.78	23	57	0.29	0.08	16	0	2	0	1.9
87	1.87	0.1	20.13	1.8	5	328	8	0.31	20	40	0.27	0.098	9	0	3	0	2.1
93	1.96	0.1	21.55	1.5	5	391	5	0.35	25	50	0.29	0.105	9	0	0	0	0.3
218	3.44	8.2	34.03	3.2	45	480	10	1.49	22	65	0.41	0.119	17	0	0	0	
365	9.34	3.78	76.27	2.5	5	298	141	7.21	110	223	1.78	1.429	233	0	214	0	0
96	3.41	1.5	20.98	2.4	1	218	3	0.45	26	77	0.62	0.093	23	0	263	0	0.4
130	2.38	0.21	28.59	0.3	0	29	3	1.49	13	37	0.42	0.167	58	0	0	0	0
112	2.32	0.83	23.51	1.8	1	79	10	0.53	44	77	0.62	0.102	4	0	0	0	0
112	3.79	0.16	23.22	1.4	5	58	8	0.38	8	22	0.26	0.063	15	0	0	0	0.1
16	0.83	0.2	3.49	1.5	1	146	44	0.65	18	29	0.14	0.025	33	0	700	0	16
132	8.86	0.54	23.71	8.7	1	355	27	2.1	70	140	1.12	0.244	149	0	6	0	
84	5.36	0.22	15.63	5.5	3	271	27	1.54	39	117	1.19	0.259	63	0	801	0	25.9
98	7.05	0.51	17.08	0	3	268	26	1.67	41	24	0.78	0.216	36	0	107	0	
81	8.47	4.45	6.53	0.8	10	355	59	1.31	60	135	1.04	0.205	80	0	40	0	70.6
70	8.19	4.17	1.69	0.9	12	148	201	1.61	37	121	0.83	0.06	19	0	0	0	2.4
120	4.4	1.92	21.3	2.8	7	172	17	1.49	64	152	1.09	0.107	42	0	5	0	
116	9.02	0.38	20.13	7.9	2	369	19	3.33	36	180	1.27	0.169	181	0	8	0	1.7
164	8.86	2.59	27.42	7.6	243	291	49	2.89	48	168	1.53	0.116	172	0	27	0	4
20	0.86	0.17	4.64	1.7	3	175	10	0.34	10	20	0.13	0.057	10	0	370	0	7.4
40	1.87	0.44	8.81	1.5	9	322	14	1.03	23	43	0.26	0.072	23	0	952	0	14
18	0.88	0.2	3.92	1.2	5	237	10	0.27	11	24	0.17	0.037	15	0	833	0	7.9
17	0.76	0.05	4.24	0.4	269	229	10	0.43	11	25	0.15	0.047	20	0	450	0	2.3
12	0.59	0.16	2.16	0.7	2	136	14	0.22	12	21	0.17	0.031	14	0	72	0	7.2
15	1.36	0.15	2.79	1.3	28	194	36	0.86	13	29	0.18	0.07	38	0	7405	0	173.6
25	1.28	0.1	5.8	2.5	18	170	40	0.47	12	26	0.18	0.061	43	0	98	0	76
31	1.43	0.16	7.37	2.1	27	243	45	0.8	16	30	0.22	0.064	18	0	1116	0	38.2
16	0.68	0.1	3.4	1.6	39	233	15	0.34	10	20	0.28	0.012	25	0	7	0	1.3
27	0.97	0.47	5.74	1.8	15	159	52	0.51	16	25	0.2	0.03	30	0	4000	0	156.3
40	1.1	0.1	9.34	1.7	4	146	23	0.21	10	29	0.17	0.046	19	0	2	0	0.4
32	0.8	0.08	7.55	0.9	8	119	20	0.26	9	27	0.13	0.041	23		1	0	0.3
149	6.36	0.5	33.06	2.1	17	401	181	1.7	25	153	1.16	0.2	3	0	9	0	1.7
41	0.93	0.24	9.58	2.8	69	320	33	0.3	12	35	0.24	0.066	19	0	16706	0	13.2
35	0.76	0.18	8.22	3	58	235	30	0.34	10	30	0.2	0.066	14	0	17033	0	13.7
16	0.69	0.17	2.97	1.6	80	260	26	0.2	11	24	0.13	0.021	36	0	449	0	29.3
18	0.83	0.16	4	1.6	91	284	42	0.42	12	25	0.14	0.043	22	0	521	0	37.8
36	2.97	0.79	6.33	3.3	56	554	138	6.2	50	58	1.07	0.086	152	0	8424	0	1640
71	1.32	0.3	17.01	3.6	10	367	37	0.58	29	69	0.26	0.083	58	0	0	0	1
28	0.9	0.1	6.43	1.8	67	191	30	0.3	11	27	0.27	0.04	15	0	0	0	0.1
22	0.71	0.08	5.06	2	16	177	33	0.18	9	26	0.12	0.027	9	0	0	0	0.1
23	2.97	0.26	3.75	2.4	306	466	136	3.57	87	56	0.76	0.095	146	0	10481	0	493.6
